Current_Rank,Wallet,Volume,Reversals,Opt1_Rank,Opt1_Change,Opt2_Rank,Opt2_Change
1,CyaE1VxvBrahnPWkqm5VsdCvyS2QmNht2UFrKJHga54o,246694.30,3279,DQ,DQ,6,-5
2,BA36AnwpTfKeqNhExVUFFbzUAQTyKYvJrEokKJqVCTPi,232130.42,1770,DQ,DQ,1,+1
3,BBPKQwYLyiPjAX2KTFxanR7vxwa7majAF7c7yoaRX8oR,94595.04,522,DQ,DQ,19,-16
4,2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,92004.33,1176,DQ,DQ,20,-16
5,3JD7zrZVXfGozgaSrnn3GzAcGsHCM5ATazX8EqwJqZWY,87881.68,162,1,+4,22,-17
6,HYSq1KBAvqWpEv1pCbV31muKM1za5A1WSHGdiVLUoNhb,87391.05,2,2,+4,2,+4
7,AD3XDgirYWTDrtztXDyjwzRvwyA5aG5bivaFXnjujXPf,86195.90,380,3,+4,14,-7
8,FYQU4Q4BEgNwNATMEphBtZtfkR3RamXXy6JvHnVHhjuo,84468.24,9,4,+4,3,+5
9,BAk7jy4pPS9u4tBsbGWVJstrbami8UuxQtRktVFnfx9k,83917.40,224,5,+4,21,-12
10,7naFFwuEJWeWwWYQUkgAWHsxYKg3KctEuUj42JdAMidP,76277.30,54,6,+4,4,+6
11,JAQZkUqCfWjXu2jKVDbBp4LD2SbYcRHMN1RN9N8uWiBn,74515.20,471,7,+4,61,-50
12,FxN3VZ4BosL5urG2yoeQ156JSdmavm9K5fdLxjkPmaMR,71683.96,1169,DQ,DQ,35,-23
13,EFaQQTGywnD4CjQQvTugUiyVT4LV9G6MsWqiub8X6unN,71524.86,0,8,+5,5,+8
14,7NAd2EpYGGeFofpyvgehSXhH5vg6Ry6VRMW2Y6jiqCu1,70658.47,1170,DQ,DQ,38,-24
15,PMJA8UQDyWTFw2Smhyp9jGA6aTaP7jKHR7BPudrgyYN,65290.37,452,9,+6,72,-57
16,J2L495ZPcJ6Btuyd4YqXz5uw7hpKiQXGcLvALwumabED,63173.03,401,10,+6,77,-61
17,5t5Y3upBdyxeszzxKRtNw6h9fGnpFF1WJQwNHfPEQobQ,58312.22,307,11,+6,28,-11
18,6nU2L7MQVUWjtdKHVpuZA9aind73nd3rXC4YFo8KQCy4,55502.19,1,12,+6,7,+11
19,DqD9b5LZK8RRXkfXQNF97e6HTcfZ8XsYNdAN2kNdGNty,54786.38,61,13,+6,9,+10
20,3UNPM7X6LbmxUms5ij6zm9P7J1Ev2Wd7TwwXmYrPX3n3,54609.62,447,14,+6,179,-159
21,5zCkbcD74hFPeBHwYdwJLJAoLVgHX45AFeR7RzC8vFiD,54122.17,3,15,+6,8,+13
22,3J7ZjmdcrwHMuW8osom4K19ybm1NL1mAP89DpC5MyEWC,53783.74,187,16,+6,75,-53
23,kkMrXRWnhkR9vgzmjPSLZTV7N7LsMeyXifPiW1HFWMn,53062.79,432,17,+6,184,-161
24,ACTbvbNm5qTLuofNRPxFPMtHAAtdH1CtzhCZatYHy831,52672.32,105,18,+6,24,=
25,9nHkJPoPwKdwDWNt3HdC753R1WjyBcuXLg5HQsxZtMiv,51964.81,61,19,+6,10,+15
26,CJKksKnktWH3AcNupDPzdry2KpoCVBT5nyPNpe975qUK,51430.55,286,20,+6,64,-38
27,6wowwKG1ztzTRBzrVmxuWnZVUh8AwcPD2DFEXPgR1VsM,51042.80,286,21,+6,65,-38
28,suqh5sHtr8HyJ7q8scBimULPkPpA557prMG47xCHQfK,49519.70,762,DQ,DQ,80,-52
29,GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,47794.81,69,22,+7,29,=
30,Dgehc8YMv6dHsiPJVoumvq4pSBkMVvrTgTUg7wdcYJPJ,47297.20,90,23,+7,40,-10
31,BRx8TP6HsD9srJ62rcYizjAHyZ5mt3cp8wPBEZioTsym,46829.63,148,24,+7,51,-20
32,B3wagQZiZU2hKa5pUCj6rrdhWsX3Q6WfTTnki9PjwzMh,46783.22,15,25,+7,17,+15
33,CA4keXLtGJWBcsWivjtMFBghQ8pFsGRWFxLrRCtirzu5,46627.61,8,26,+7,12,+21
34,TimeAdRpWxqKXR5YPEwGBF48KC5V5TxB2g6mnyCp4VR,45507.50,25,27,+7,18,+16
35,JCLqyRAzLy2otp1mUkgaHpJkNRrQ5Xf1hQakn7m1oRQJ,45412.49,174,28,+7,83,-48
36,EAoe557r1L8ZAMHNjrccnjekyo95iov6y62mxwv8BN2N,45382.44,5,29,+7,13,+23
37,5RA3mHaNZmteC7TLkykPe6NwMdYzz9XqRqZdXsS2nQqa,44892.71,341,30,+7,102,-65
38,jewY1ZEqT7wEyUDMFJ6mFW52soaX1i9zr4wLpqUvaMz,44580.46,345,31,+7,68,-30
39,DEVA1RTJX6mAXLy9HikaDG3SPRu8mrjXnkedoivGQMvZ,44437.27,133,32,+7,39,=
40,5TcyQLh8ojBf81DKeRC4vocTbNKJpJCsR9Kei16kLqDM,44060.07,11,33,+7,16,+24
41,5FqUo9aBjsp7QeeyN6Vi2ZmF2fjS4H5EU7wnAQwPy17z,44002.02,0,34,+7,11,+30
42,C7yUFMdiV2tucSc9FXurvuvBCFek195oA8hgfn9AS3CF,43976.19,63,35,+7,36,+6
43,HqBLXnqnDY1xrGnMsa3rRfw4C6qoQYiCsbQCap5LUyGQ,43524.70,380,36,+7,268,-225
44,5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,42571.77,233,37,+7,30,+14
45,G7NvZKjoVqBDWciSYtWWgUPB7DA1iJavdvH5jty2FAmM,42188.56,61,38,+7,23,+22
46,DdZG8dw12CsHjj2Ytfo1vKNPPoU4DEYSMSxdhPjo5U6N,42118.64,3,39,+7,15,+31
47,3rcUJ1ydrfXYDZWTu3GfVRRg3WE34CwFywRkeU6qZGyg,42045.28,246,40,+7,70,-23
48,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,40418.88,124,41,+7,50,-2
49,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,39760.25,94,42,+7,147,-98
50,C6RY5sbvmTFBZXYe6YLrpGjUAFSQwyRmKawLZk9ucrSS,39308.67,489,43,+7,69,-19
